cust_code,customer_name,item_code,item_description,invoice_date,invoice_no,quantity,price,amount,cost,profit,margin,source_file
AXIELR,Axiel Foods - Retail Web,10000,"Other whole fish, Pls specify",2025-07-26,0964429,1.6,16.28,26.05,0.00,26.05,100.00,DSCI07122025.txt
AXIELR,Axiel Foods - Retail Web,10000,"Other whole fish, Pls specify",2025-12-06,0984004,1,4.65,4.65,0.04,4.61,99.14,DSCI07122025.txt
AXIELR,Axiel Foods - Retail Web,10000,"Other whole fish, Pls specify",2025-12-27,0986846,1,26.92,26.92,0.05,26.87,99.80,DSCI07122025.txt
BUCA-Y,2817340 Ontario inc / Buca Yorkville,10000,"Other whole fish, Pls specify",2025-11-22,0981705,10,21.95,219.50,0.20,219.30,99.91,DSCI07122025.txt
BUCA-Y,2817340 Ontario inc / Buca Yorkville,10000,"Other whole fish, Pls specify",2025-11-30,0983604,-8,21.95,-175.60,-0.32,-175.28,99.82,DSCI07122025.txt
CHLEPA,Chateau Le Parc Event Centre-E,10000,"Other whole fish, Pls specify",2025-12-09,0984274,15.4,14.5,223.30,0.62,222.68,99.72,DSCI07122025.txt
DANICO,DaNico Restaurant,10000,"Other whole fish, Pls specify",2025-11-27,0982540,1.7,18.95,32.22,0.04,32.18,99.88,DSCI07122025.txt
DANICO,DaNico Restaurant,10000,"Other whole fish, Pls specify",2025-11-28,0982740,5.5,18.95,104.23,0.13,104.10,99.88,DSCI07122025.txt
DANICO,DaNico Restaurant,10000,"Other whole fish, Pls specify",2025-12-03,0983345,15.8,18.95,299.41,0.63,298.78,99.79,DSCI07122025.txt
DANICO,DaNico Restaurant,10000,"Other whole fish, Pls specify",2025-12-10,0984515,18,18.95,341.10,0.72,340.38,99.79,DSCI07122025.txt
DANICO,DaNico Restaurant,10000,"Other whole fish, Pls specify",2025-12-18,0985811,-2.8,18.95,-53.06,-0.21,-52.85,99.60,DSCI07122025.txt
DANICO,DaNico Restaurant,10000,"Other whole fish, Pls specify",2025-12-27,0987211,8.5,18.95,161.08,0.49,160.59,99.70,DSCI07122025.txt
GATGHO,Gateau Ghost,10000,"Other whole fish, Pls specify",2025-12-20,0986245,1,8.95,8.95,0.05,8.90,99.40,DSCI07122025.txt
GRACLU,Granite Club,10000,"Other whole fish, Pls specify",2025-11-03,0978856,4.7,10,47.00,0.09,46.91,99.81,DSCI07122025.txt
NEVKIT,Nevizade Kitchen & Bar,10000,"Other whole fish, Pls specify",2025-12-16,0985384,14.88,47,699.36,0.79,698.57,99.89,DSCI07122025.txt
NEVKIT,Nevizade Kitchen & Bar,10000,"Other whole fish, Pls specify",2025-12-16,0986824,-14.88,47,-699.36,-0.79,-698.57,99.89,DSCI07122025.txt
ONE-JA,One Time Customer - Jako,10000,"Other whole fish, Pls specify",2025-12-23,0986519,1.6,0,0.00,0.09,-0.09,0.00,DSCI07122025.txt
ONE-JH,One Time Customer - Jessie,10000,"Other whole fish, Pls specify",2025-07-09,0961581,5,0,0.00,0.00,0.00,0.00,DSCI07122025.txt
OROFIS,Oroshi Fish Co,10000,"Other whole fish, Pls specify",2025-10-28,0978034,10.6,4.95,52.47,0.16,52.31,99.69,DSCI07122025.txt
PALAIS,Palais Royale,10000,"Other whole fish, Pls specify",2025-10-09,0975282,24,17.95,430.80,0.37,430.43,99.91,DSCI07122025.txt
1HOTKI,1 Hotel Toronto (Main Kitchen),10008,"EA -discounts, delivery fees",2025-12-31,0987398,1,35,35.00,2.31,32.69,93.41,DSCI07122025.txt
7ENOTE,7 Enoteca,10008,"EA -discounts, delivery fees",2025-08-08,0966227,2,0,0.00,2.79,-2.79,0.00,DSCI07122025.txt
ABRIEL,Abrielle,10008,"EA -discounts, delivery fees",2025-07-07,0961335,1,35,35.00,1.05,33.95,96.99,DSCI07122025.txt
ABRIEL,Abrielle,10008,"EA -discounts, delivery fees",2025-09-05,0970262,1,30,30.00,2.28,27.72,92.41,DSCI07122025.txt
ALO-C,Alo Bar Cumberland -(Yorkville),10008,"EA -discounts, delivery fees",2025-08-09,0966423,1,30,30.00,1.39,28.61,95.35,DSCI07122025.txt
ALOE-B,Aloette 81 Bay LP,10008,"EA -discounts, delivery fees",2025-09-04,0969950,1,25,25.00,2.28,22.72,90.89,DSCI07122025.txt
ALOE-B,Aloette 81 Bay LP,10008,"EA -discounts, delivery fees",2025-11-06,0979441,1,20,20.00,2.31,17.69,88.47,DSCI07122025.txt
ALOETT,Aloette Restaurant - Spadina,10008,"EA -discounts, delivery fees",2025-09-09,0970732,1,25,25.00,2.28,22.72,90.89,DSCI07122025.txt
