cust_code,customer_name,item_code,item_description,invoice_date,invoice_no,quantity,price,amount,cost,profit,margin,source_file
CIBO-K,Cibo Wine Bar - King St.,10000,"Other whole fish, Pls specify",2026-03-14,0997046,10,3.75,37.50,0.77,36.73,97.96,DSCI.txt
CIBO-K,Cibo Wine Bar - King St.,10000,"Other whole fish, Pls specify",2026-03-14,0997046,26.5,5.95,157.68,2.03,155.65,98.71,DSCI.txt
DANICO,DaNico Restaurant,10000,"Other whole fish, Pls specify",2026-03-14,0997047,5.75,18.95,108.96,0.44,108.52,99.60,DSCI.txt
LUCIE,Lucie,10000,"Other whole fish, Pls specify",2026-03-09,0996170,2.65,16.95,44.92,0.20,44.72,99.55,DSCI.txt
ONE-AZ,One Time Customer AZ,10000,"Other whole fish, Pls specify",2026-03-09,0996172,5,6.95,34.75,0.38,34.37,98.90,DSCI.txt
AXIELR,Axiel Foods - Retail Web,10008,"EA -discounts, delivery fees",2026-03-14,0996944,1,-250.74,-250.74,2.31,-253.05,100.92,DSCI.txt
MASB-E,Mascot Brewery Inc. - Etobicoke,10008,"EA -discounts, delivery fees",2026-03-11,0996438,1,20,20.00,2.31,17.69,88.47,DSCI.txt
MILOU,Milou,10008,"EA -discounts, delivery fees",2026-03-14,0996874,1,20,20.00,2.31,17.69,88.47,DSCI.txt
ONE-JH,One Time Customer - Jessie,10008,"EA -discounts, delivery fees",2026-03-16,0997042,1,0,0.00,2.31,-2.31,0.00,DSCI.txt
RHF&BM,RH F&B Operations Montreal Inc,10008,"EA -discounts, delivery fees",2026-03-10,0996279,1,80,80.00,2.31,77.69,97.12,DSCI.txt
AXIELR,Axiel Foods - Retail Web,10010,Fresh Fish -Sold By EACH,2026-03-14,0996944,1,18.6,18.60,6.55,12.05,64.80,DSCI.txt
BUCA-Y,2817340 Ontario inc / Buca Yorkville,10010,Fresh Fish -Sold By EACH,2026-03-09,0996113,1,0,0.00,6.55,-6.55,0.00,DSCI.txt
